full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,spread,rank_funnel
Johnny Mundt,TE,JAX,DEN,0.5,0.0,1.5082988974836116,Low Confidence,0.0,Safe,1.0082988974836116,1.7,4.5,21.25,2.5,3.0,3.0
Will Dissly,TE,LAC,DAL,0.3500000000000001,0.0,1.5458260743101397,Low Confidence,0.0,Safe,1.1958260743101397,1.1,3.8,24.0,2.35,1.5,8.0
Eric Saubert,TE,SEA,LAR,0.04999999999999982,0.0,5.05,Low Confidence,0.0,Volatile,5.0,1.9,2.2,21.5,2.05,1.5,5.0
Taysom Hill,TE,NO,NYJ,0.0259999999999998,0.0,1.7932590201904315,Low Confidence,0.0,Safe,1.7672590201904317,-0.1,6.1,22.5,2.026,-4.5,29.0
Ben Sims,TE,MIN,NYG,-0.10000000000000009,0.0,4.9,High Confidence,100.0,Volatile,5.0,1.9,1.9,23.25,1.9,-3.0,28.0
Colson Yankoff,TE,WAS,PHI,-0.10000000000000009,0.0,4.9,High Confidence,100.0,Volatile,5.0,1.4,2.4,19.0,1.9,6.5,25.0
Chris Manhertz,TE,NYG,MIN,-0.30000000000000004,0.0,4.7,High Confidence,100.0,Volatile,5.0,1.7,1.7,20.25,1.7,3.0,27.0
Josiah Deguara,TE,ARI,ATL,-0.3999999999999999,0.0,4.6,High Confidence,100.0,Volatile,5.0,1.6,1.6,22.5,1.6,2.5,24.0
Shane Zylstra,TE,DET,PIT,-0.5,0.0,4.5,High Confidence,100.0,Volatile,5.0,0.0,0.0,29.25,0.0,-7.0,11.0
Durham Smythe,TE,CHI,GB,-0.5333333333333332,0.0,4.466666666666667,High Confidence,100.0,Volatile,5.0,1.2,1.8,22.5,1.4666666666666668,1.5,16.0
Blake Whiteheart,TE,CLE,BUF,-0.8,0.0,4.2,High Confidence,100.0,Volatile,5.0,1.0,1.4,16.25,1.2,10.0,32.0
Brady Russell,TE,SEA,LAR,-2.0,0.0,3.0,High Confidence,100.0,Volatile,5.0,0.0,0.0,21.5,0.0,1.5,5.0
Nick Kallerup,TE,SEA,LAR,-2.0,0.0,3.0,High Confidence,100.0,Volatile,5.0,0.0,0.0,21.5,0.0,1.5,5.0
Stone Smartt,TE,NYJ,NO,-2.0,0.0,3.0,High Confidence,100.0,Volatile,5.0,0.0,0.0,18.0,0.0,4.5,31.0
Jack Westover,TE,NE,BAL,-2.0,0.0,3.0,High Confidence,100.0,Volatile,5.0,0.0,0.0,22.75,0.0,3.0,14.0
